year,Location,Crop,precipitation (mm),Temperature (°C),Irrigation water usage (m³),Water availability (m³),Crop yield (metric tons/hectare),Irrigation efficiency (%),Irrigation method,Soil moisture (%),water salinity (ppm),Greenhouse gas emissions (metric tons)
1999,Rwanda,Pigeon peas,925.34,17.66,8007.66,10011.4,9.11,0.61,Center pivot irrigation,0.17,233.27,30.76
2001,South Sudan,Cassava,652.65,33.04,2040.53,97439.74,4.22,0.75,Sprinkler irrigation,0.22,860.72,27.6
2001,Rwanda,Rice,1868.78,15.81,4118.67,57997.22,1.63,0.71,Center pivot irrigation,0.43,788.07,85.81
2015,Rwanda,Sweet potatoes,1837.38,20.85,8827.72,33601.11,8.45,0.88,Center pivot irrigation,0.25,190.11,35.48
1995,Uganda,Pigeon peas,1341.66,33.92,5944,79772.9,6.62,0.65,Flood irrigation,0.19,826.58,25.28
1998,Rwanda,Rice,880.48,17.33,3844.11,62026.21,5.2,0.63,Sprinkler irrigation,0.18,988.39,21.77
2020,Burundi,Cowpeas,528.55,29.77,7440.99,77906.03,2.65,0.65,Sprinkler irrigation,0.28,999.52,16.52
2016,Burundi,Wheat,1919.38,30.51,2616.66,16878.72,7.77,0.73,Drip irrigation,0.47,753.52,51.82
2007,Kenya,Cassava,1708.27,30.34,5799.64,54809.74,4.79,0.66,Drip irrigation,0.42,178.31,28.94
2006,Tanzania,Pigeon peas,1295.11,25.78,9292.9,69828.78,1.51,0.62,Sprinkler irrigation,0.44,635.08,78.13
2000,South Sudan,Beans,773.12,23.68,8921.17,29193.42,1.81,0.79,Flood irrigation,0.27,179.44,40.05
2011,South Sudan,Irish potatoes,541.21,22.86,6159.56,58632.75,6.14,0.7,Center pivot irrigation,0.34,125.64,39.12
1993,Kenya,Cowpeas,1828.76,19.93,7724.02,33377.93,3.67,0.62,Center pivot irrigation,0.1,983.86,11.32
2003,Rwanda,Sunflower,1970.78,23.73,8866.53,18431.33,9.94,0.72,Drip irrigation,0.45,968.18,61.46
1997,South Sudan,Maize,827.92,31.2,1380.63,24938.13,2.58,0.76,Flood irrigation,0.32,291.38,19.49
2000,South Sudan,Cowpeas,1084.63,18.04,5670.18,14048.18,8.28,0.63,Flood irrigation,0.46,285.8,37.02
2012,Kenya,Irish potatoes,1730.19,21.46,4019.34,44792.55,5.92,0.67,Center pivot irrigation,0.5,568.21,57.63
2000,Burundi,Cassava,1011.18,15.24,9835.79,84473.5,1.69,0.78,Sprinkler irrigation,0.26,509.06,17.96
2001,Rwanda,Irish potatoes,1166.05,31.72,3717.88,64981.24,5.29,0.55,Sprinkler irrigation,0.36,585.9,19.22
1999,South Sudan,Sunflower,1275.15,17.36,7776.84,75266.28,1.28,0.81,Drip irrigation,0.39,143.08,24.52
2007,Rwanda,Pigeon peas,982.93,26.42,5054.94,74677.1,1,0.7,Flood irrigation,0.15,795.89,22.52
2001,Uganda,Sweet potatoes,1277.37,19.83,4017.25,73501.47,3.68,0.9,Drip irrigation,0.31,533.32,24.18
2008,Uganda,Soybeans,523.43,17.37,7785.63,76623.1,5.72,0.7,Drip irrigation,0.24,761.63,44.32
2018,South Sudan,Sweet potatoes,1658.59,32.37,9203.74,83904.85,9.64,0.88,Sprinkler irrigation,0.38,992.35,39.31
2018,South Sudan,Sorghum,582.14,30.72,1185.91,77661.83,3.38,0.73,Sprinkler irrigation,0.21,354.53,43.67
2014,Rwanda,Wheat,1757.95,17.51,4043.07,75428.13,2.59,0.87,Sprinkler irrigation,0.47,186.32,27.51
2019,Burundi,Millet,1164.48,22.34,7606.53,72069.48,4.52,0.62,Drip irrigation,0.37,715.29,98.61
2023,Burundi,Pigeon peas,981.31,15.96,2341.27,69886.29,5.12,0.87,Drip irrigation,0.14,257.49,33.77
1998,Rwanda,Maize,1190.16,16.99,6441.13,15903.37,1.21,0.73,Center pivot irrigation,0.2,840.89,17.4
2001,Uganda,Sweet potatoes,1643.54,20.62,8860.18,70305.42,9.18,0.86,Flood irrigation,0.3,972.35,61.14
2020,Kenya,Millet,842.96,31.4,9893,15581.65,5.37,0.58,Flood irrigation,0.39,130.66,47.36
2009,South Sudan,Millet,1159.72,23.31,6699.84,93633.71,2.25,0.56,Drip irrigation,0.22,497.84,99.76
2019,South Sudan,Wheat,1525.76,21.35,9321.48,62996.96,2.37,0.83,Sprinkler irrigation,0.33,809.16,54.94
1994,Uganda,Sweet potatoes,596.57,28.45,6927.42,22801.89,3.3,0.53,Flood irrigation,0.12,971.66,92.22
2017,Uganda,Cassava,1083.67,27.71,4603.78,69517,8.59,0.55,Drip irrigation,0.41,841.54,93.38
1997,Rwanda,Cowpeas,938.37,28.69,2573.97,51024.92,2.59,0.89,Flood irrigation,0.26,965.03,11.48
2004,Kenya,Millet,986.78,17.43,1472.01,36612.83,7.46,0.89,Sprinkler irrigation,0.37,640.45,72.08
2009,Uganda,Maize,1435.58,22.47,9333.24,92106.53,8.12,0.64,Center pivot irrigation,0.25,385.53,58.68
2010,South Sudan,Maize,698.87,34.56,7061.86,26057.5,5.38,0.67,Center pivot irrigation,0.26,938.78,67.83
1997,Uganda,Maize,1060.5,19.16,1145.62,38615.07,1.56,0.67,Flood irrigation,0.27,615.64,31.96
1996,Kenya,Sunflower,1214.65,20.09,3113.26,28084.49,8.59,0.54,Flood irrigation,0.23,357.14,69.58
2002,Tanzania,Pigeon peas,1542.51,24.97,3027.85,68816.27,8.48,0.64,Drip irrigation,0.22,484.69,93.08
1999,Rwanda,Beans,1270.78,23.96,4934.2,15499.3,7.58,0.58,Flood irrigation,0.34,917.53,15.74
2001,Uganda,Cassava,527.16,28.94,3231.33,39552.94,6.2,0.74,Flood irrigation,0.41,269.46,53.67
2002,South Sudan,Soybeans,501.14,28.51,1112.18,83626.6,3.21,0.51,Flood irrigation,0.25,367.01,69.23
2006,Rwanda,Irish potatoes,1240.36,34.34,8368.06,22000.13,3.45,0.74,Drip irrigation,0.29,897.81,35.48
2020,Rwanda,Groundnuts,1396.33,19.01,2224.12,22639.87,4.36,0.82,Drip irrigation,0.12,274.59,96.57
2015,Burundi,Beans,894.19,32.63,9362.97,78018.91,7.67,0.63,Drip irrigation,0.1,457.56,40.67
1996,South Sudan,Sunflower,937,15.66,9898.69,41195.16,4.08,0.84,Flood irrigation,0.42,645.84,30.12
2006,Uganda,Fruits,916.35,29.02,1304.2,40160.26,6.82,0.51,Drip irrigation,0.5,702.34,26.55
2014,Tanzania,Groundnuts,1457.82,34.74,2919.14,87475.36,7.96,0.75,Flood irrigation,0.29,796.02,59.4
2012,Uganda,Maize,1719.4,33.72,4120.16,68779.96,3.45,0.71,Flood irrigation,0.1,915.53,55.61
2000,Burundi,Sunflower,1524.81,21.93,2261.18,91503.26,9.91,0.85,Sprinkler irrigation,0.48,712.95,55.43
2000,Burundi,Cowpeas,1394.53,18.08,3444.57,68909.57,8.23,0.71,Sprinkler irrigation,0.25,324.89,73.99
2003,Kenya,Sorghum,684.89,28.55,3076.6,43960.3,6.86,0.61,Center pivot irrigation,0.46,961.98,10.9
2008,Tanzania,Cassava,701.12,28.7,6111.69,30105.74,5.91,0.76,Flood irrigation,0.35,781.62,14.72
2021,Uganda,Rice,846.63,32.23,4043.62,53857.56,7.01,0.86,Drip irrigation,0.49,391.56,53.52
2006,South Sudan,Sweet potatoes,1217.33,23.94,7198.76,62622.73,2.51,0.57,Drip irrigation,0.28,691.05,16.67
2002,Uganda,Cassava,1624.37,22.21,9260.97,74562.69,6.51,0.53,Center pivot irrigation,0.43,180.3,56.75
2012,Rwanda,Cassava,715.96,29.65,2706.74,47239.93,1.93,0.81,Flood irrigation,0.36,595.96,29.49
2001,Rwanda,Sweet potatoes,832.25,25.19,6060.92,66794.52,8.11,0.53,Center pivot irrigation,0.25,868.61,53.68
1999,South Sudan,Soybeans,1692.55,17.97,3588.55,95032.08,5.04,0.55,Center pivot irrigation,0.13,942.89,43.5
2017,Uganda,Cowpeas,855.89,32.82,2981.97,53585.61,9.76,0.67,Sprinkler irrigation,0.27,693.01,11.1
2016,Uganda,Pigeon peas,876.3,24,6350.5,29885.73,2.5,0.57,Sprinkler irrigation,0.22,446.69,99.6
2018,Rwanda,Irish potatoes,783.5,26.46,8784.34,26447.11,1.92,0.78,Center pivot irrigation,0.22,351.58,31.62
2013,Tanzania,Vegetables,907.4,17.34,7572.4,84240.33,9.47,0.58,Drip irrigation,0.46,589.1,25.31
2019,Tanzania,Cassava,501.88,19.59,8666.98,45527.16,7.68,0.57,Sprinkler irrigation,0.27,855.49,82.17
2005,Uganda,Beans,1568.08,18.28,6172.16,95589.49,1.27,0.6,Center pivot irrigation,0.43,671.29,64.04
2005,Burundi,Sweet potatoes,563.47,32.07,5071.98,16036.8,3.24,0.89,Center pivot irrigation,0.19,694.22,76.01
2019,South Sudan,Beans,1904.97,19.27,8959.55,36255.45,7.69,0.52,Sprinkler irrigation,0.29,177.5,13.84
2004,Burundi,Soybeans,1953.78,23.3,6668.95,78496.94,4.35,0.87,Sprinkler irrigation,0.29,567.11,28.69
2022,Uganda,Rice,1980.53,26.31,2701.81,13846.1,5.13,0.78,Center pivot irrigation,0.22,785.57,51.11
2021,Kenya,Cowpeas,1068.43,16.46,1868.12,72213.35,6.11,0.75,Sprinkler irrigation,0.37,615.41,57.01
2014,Rwanda,Fruits,540.17,30.88,4629.07,51738.44,4.46,0.76,Sprinkler irrigation,0.45,679.84,22.97
2006,Rwanda,Groundnuts,1531.13,19.31,1868.28,52081.73,5.91,0.51,Center pivot irrigation,0.22,462.82,28.27
2013,Tanzania,Sweet potatoes,1957.27,30.84,9719.45,94513.6,9.94,0.84,Flood irrigation,0.43,255.41,51.02
2007,Uganda,Cassava,1198.71,17.99,5895.72,65908.09,4.54,0.9,Drip irrigation,0.17,328.62,63.18
2017,Burundi,Fruits,1430.53,23.07,3868.46,94516.09,7.55,0.54,Sprinkler irrigation,0.2,108.33,11.11
2014,Burundi,Beans,781.66,24.03,6006.14,14031.38,3.49,0.83,Flood irrigation,0.49,170.14,52.69
2015,Burundi,Sweet potatoes,1937.76,27.01,5528.87,56201.43,9.77,0.54,Flood irrigation,0.23,639.47,70.14
2011,South Sudan,Sunflower,1515.01,31.77,6360.78,90871.31,2.78,0.73,Center pivot irrigation,0.3,715.31,98.3
2021,Burundi,Maize,997.31,34.47,5526.12,89117.92,8.94,0.79,Center pivot irrigation,0.32,999.2,56.31
2010,Uganda,Pigeon peas,1424.64,18.09,6562.78,55230.92,1.39,0.55,Sprinkler irrigation,0.28,693.38,13.19
2000,Uganda,Sorghum,1253.91,15.89,3857.06,24254.07,2.53,0.89,Flood irrigation,0.14,145.62,79.91
2002,Kenya,Maize,1510.39,18.96,6936.92,42185.82,7.99,0.59,Sprinkler irrigation,0.21,774.39,25.97
1994,Uganda,Soybeans,1019.2,22.29,4861.08,24619.9,7.83,0.82,Flood irrigation,0.24,814.53,99.98
1996,Rwanda,Vegetables,1639.8,32.43,9950.64,27650.46,3.9,0.67,Sprinkler irrigation,0.21,196.22,61.53
2018,Tanzania,Cowpeas,1501.86,19.98,8909.55,87681.63,3.01,0.76,Sprinkler irrigation,0.44,431.17,67.51
2021,Burundi,Cassava,1459.26,24.83,3468.7,24557.09,4.79,0.55,Flood irrigation,0.14,626.61,74.9
1993,Rwanda,Beans,1604.39,34.46,9465.77,23378.78,2.66,0.72,Drip irrigation,0.36,253.66,13.99
2022,South Sudan,Sorghum,1163.49,25.74,8582.23,39907,8.08,0.87,Center pivot irrigation,0.21,882.23,80.28
1995,Tanzania,Wheat,817.23,27.24,6722.51,63978.98,9.1,0.79,Sprinkler irrigation,0.19,754.1,74.24
2023,Tanzania,Maize,1332.88,18.06,8631.81,24446.87,3.17,0.68,Drip irrigation,0.25,710.24,85.75
1999,Kenya,Cassava,1896.88,22.79,5739.26,50869.33,9.75,0.87,Sprinkler irrigation,0.49,410.15,47.8
2019,Rwanda,Pigeon peas,1318.1,21.21,4350.9,79775.84,2.62,0.53,Center pivot irrigation,0.49,153.56,46.79
2018,Tanzania,Cassava,1666.34,31.29,6743.83,13781.82,5.79,0.72,Flood irrigation,0.18,691.05,83.73
2003,Rwanda,Pigeon peas,1098.09,30.49,7482.25,60505.8,5.95,0.9,Sprinkler irrigation,0.4,665.9,71.17
2018,South Sudan,Cassava,991.73,18.02,4030.99,35053.46,7.71,0.85,Flood irrigation,0.41,331.4,40.31
2020,Tanzania,Vegetables,1275.78,27.77,3794.54,58539.02,8.93,0.54,Drip irrigation,0.32,800.6,11.39
1993,Rwanda,Fruits,1591.89,15.13,1056.86,46912.43,3.47,0.53,Flood irrigation,0.37,531.67,93.71
2012,Uganda,Wheat,849.31,24.09,5133.59,97354.56,9.09,0.73,Center pivot irrigation,0.12,553.81,28.98
1993,Burundi,Vegetables,1696.08,34.28,7028.37,12100.95,5.67,0.74,Sprinkler irrigation,0.32,550.19,88.17
2023,Rwanda,Cassava,1679.64,22.48,8111.85,69137.73,2.79,0.57,Center pivot irrigation,0.48,485.15,87.06
2012,Uganda,Groundnuts,1073.2,23.85,4857.55,60510.01,3.42,0.68,Flood irrigation,0.49,810.07,11.05
1997,Burundi,Vegetables,1480.42,15.05,1183.76,51719.96,8.01,0.73,Sprinkler irrigation,0.11,970.02,85.75
2020,Kenya,Sweet potatoes,1477.33,17.55,7897.74,86727.23,6.2,0.63,Drip irrigation,0.25,693.76,73.62
2014,Tanzania,Fruits,1104.8,22.1,7383.06,76033.29,4.63,0.89,Sprinkler irrigation,0.1,234.09,59.01
1997,Kenya,Wheat,1046.46,32.23,7199.38,17994.76,2.43,0.81,Drip irrigation,0.14,654.97,50.52
2018,Burundi,Sweet potatoes,1588.59,18.44,7738.82,29193.95,1.66,0.66,Flood irrigation,0.16,785.3,35.14
2010,Tanzania,Wheat,1940.03,22.05,2106.94,63989.35,4.04,0.62,Flood irrigation,0.46,478.1,50.29
2011,Tanzania,Soybeans,1990.38,29.67,5670.77,51359.43,7.77,0.62,Drip irrigation,0.11,153.66,74.45
2018,Rwanda,Sweet potatoes,1971.35,23.33,8808.29,63367.99,7.99,0.57,Drip irrigation,0.44,994.25,70.76
2004,Tanzania,Fruits,1410.42,27.35,6903.5,98466.07,3.47,0.7,Drip irrigation,0.35,682.7,96.85
1994,Kenya,Cowpeas,1063.26,23.44,6481.1,90343.42,5.21,0.59,Drip irrigation,0.34,659.67,98.78
2005,Burundi,Maize,1857.58,27.82,2595.8,52753.98,9.11,0.72,Sprinkler irrigation,0.24,202.32,10.48
2004,South Sudan,Groundnuts,1440.39,16.94,7728.55,56008.74,4.12,0.78,Flood irrigation,0.21,530.27,61.09
1999,Uganda,Soybeans,753.34,27.26,5398.54,14472.74,1.04,0.63,Flood irrigation,0.13,773.69,98.79
1994,Kenya,Groundnuts,1107.63,34.59,8532.61,58039.28,8.58,0.71,Center pivot irrigation,0.19,582.84,27.23
2023,Tanzania,Irish potatoes,655.9,31.07,2185.6,13607.37,4.5,0.81,Center pivot irrigation,0.42,426.35,56.57
2015,South Sudan,Groundnuts,1336.27,18.75,7807.09,73657.79,4.11,0.76,Center pivot irrigation,0.11,665.32,45.78
2020,Tanzania,Vegetables,1570.23,21.97,4369.76,91725.83,2.58,0.63,Sprinkler irrigation,0.47,194.28,84.79
2007,Kenya,Soybeans,1605.76,21.07,7802.19,90942.91,6.03,0.56,Drip irrigation,0.22,270.52,56.27
2005,Rwanda,Rice,1578.85,32.37,2135.35,65348.61,8.04,0.73,Flood irrigation,0.32,690.79,39.25
1999,Burundi,Irish potatoes,1312.41,15.11,7537.47,11790.02,4.72,0.65,Drip irrigation,0.12,110.7,19.88
2012,Rwanda,Soybeans,1223.19,32.66,2336.86,39808.66,9,0.78,Center pivot irrigation,0.4,594.79,68.63
2012,Rwanda,Irish potatoes,1606.5,16.72,7148.96,98273.67,4.51,0.8,Drip irrigation,0.29,156.79,78.8
1993,Rwanda,Sunflower,1998.32,27.91,4709.12,48883.6,7.27,0.7,Center pivot irrigation,0.22,428,77.75
1996,Burundi,Fruits,1873.38,16.32,8144.28,69646.85,3.31,0.54,Sprinkler irrigation,0.14,213.82,18.81
2017,Burundi,Beans,631.57,34.01,9084.62,48621.3,7.48,0.81,Drip irrigation,0.39,126.28,93.83
1995,Rwanda,Maize,1317.92,32.48,5974.42,96769.26,5.02,0.52,Sprinkler irrigation,0.27,269.07,88.49
2009,Kenya,Pigeon peas,1423.22,23.28,2379.9,90864.39,9.68,0.83,Flood irrigation,0.38,578.39,92.67
2005,South Sudan,Fruits,785.21,19.81,7760.7,90430.88,1.75,0.82,Drip irrigation,0.43,713.63,91.16
2008,Kenya,Fruits,1203.31,32.79,6816.56,46473.95,7.21,0.75,Flood irrigation,0.23,593.96,26.89
2009,South Sudan,Sweet potatoes,1366.72,19.13,5387.74,37934.27,8.88,0.67,Drip irrigation,0.13,821.43,94.03
2006,South Sudan,Maize,528.25,15.69,5824.35,37080.68,1.56,0.71,Sprinkler irrigation,0.3,973.4,41.2
1996,Burundi,Irish potatoes,1372.68,33.1,3975.89,57601.46,8.5,0.67,Sprinkler irrigation,0.21,118.15,48.2
2016,Tanzania,Wheat,721.53,33.8,8031.59,90338.19,3.46,0.58,Drip irrigation,0.38,105.14,46.74
2010,Kenya,Sweet potatoes,1903.29,22.3,8745.26,95757.7,7.09,0.55,Drip irrigation,0.16,674.25,90.96
2022,Kenya,Pigeon peas,848.7,16.13,2936.94,43722.92,8.31,0.58,Flood irrigation,0.23,669.88,99.18
1996,Uganda,Sorghum,873.26,33.68,6593.53,81385.91,2.15,0.5,Center pivot irrigation,0.41,477.65,86.9
1997,Rwanda,Fruits,547.88,18.55,7660.04,24151.62,7.75,0.52,Drip irrigation,0.19,856.41,61.68
1997,Burundi,Soybeans,1024.14,30.21,8553.2,28948.14,3.7,0.71,Flood irrigation,0.42,939.21,26.94
1996,South Sudan,Sweet potatoes,1319.05,32.64,9372.46,52213.49,8.45,0.67,Flood irrigation,0.13,987.93,45.34
2001,Burundi,Beans,1119.11,33.75,8553.48,67054.4,7.29,0.76,Center pivot irrigation,0.49,973.28,72.99
2011,Uganda,Irish potatoes,1228.31,18.13,9183.05,17985.95,7.43,0.77,Flood irrigation,0.49,611.34,63.67
1993,Burundi,Sorghum,1222.08,23.88,1973.61,42145.69,5.16,0.89,Center pivot irrigation,0.43,474.45,61.15
2017,Burundi,Cowpeas,1852.62,16.35,7847.13,16095.89,8.69,0.52,Center pivot irrigation,0.18,740.07,93.22
2004,Rwanda,Sunflower,504.03,27.58,3009.08,37996.31,3.12,0.64,Sprinkler irrigation,0.12,175.72,30.7
2019,Tanzania,Maize,718.93,33.51,1108.55,23815.74,1.73,0.79,Flood irrigation,0.22,630.63,81.06
1995,Uganda,Cassava,1662.61,17.25,3016.81,26156.27,6.01,0.67,Drip irrigation,0.13,644.21,30.16
2017,Tanzania,Fruits,1648.52,22.18,6058.82,45285.26,9.74,0.79,Flood irrigation,0.41,308.89,78.47
1995,Burundi,Vegetables,576.26,25.52,8901,97216.11,9.51,0.79,Center pivot irrigation,0.12,192.72,42.21
2019,Uganda,Vegetables,1555.21,24.02,7740.45,59895.79,9.08,0.67,Drip irrigation,0.4,760.85,51.38
2018,Uganda,Sunflower,1115.95,24.92,7786.63,13950.68,8.6,0.66,Drip irrigation,0.11,378.4,76.22
2005,Rwanda,Sweet potatoes,1617.09,30.96,1529.76,12051.96,7.88,0.87,Drip irrigation,0.14,673.46,78.24
